scope,subject,source_file,public_file,target_value,refresh_target,canonical_target,status,actual_outcome,notes
built-alias-page,/delta-exports-in-salesforce-b2c-commerce/,migration/url-map.csv,delta-exports-in-salesforce-b2c-commerce/index.html,/delta-exports-in-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/delta-exports-in-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/delta-exports-in-salesforce-b2c-commerce-cloud/,pass,same-site-https-alias,Built alias helper verified at delta-exports-in-salesforce-b2c-commerce/index.html.
built-alias-page,/feed/atom/,migration/url-map.csv,feed/atom/index.html,/feed/,/index.xml,/index.xml,pass,same-site-https-alias,Built alias helper verified at feed/atom/index.html.
built-alias-page,/feed/rss/,migration/url-map.csv,feed/rss/index.html,/feed/,/index.xml,/index.xml,pass,same-site-https-alias,Built alias helper verified at feed/rss/index.html.
built-alias-page,/how-to-set-up-the-ecdn-for-staging-in-salesforce-b2c-commerce-cloud/,migration/url-map.csv,how-to-set-up-the-ecdn-for-staging-in-salesforce-b2c-commerce-cloud/index.html,/how-to-set-up-the-ecdn-in-sfcc-staging/,https://www.rhino-inquisitor.com/how-to-set-up-the-ecdn-in-sfcc-staging/,https://www.rhino-inquisitor.com/how-to-set-up-the-ecdn-in-sfcc-staging/,pass,same-site-https-alias,Built alias helper verified at how-to-set-up-the-ecdn-for-staging-in-salesforce-b2c-commerce-cloud/index.html.
built-alias-page,/rss/,migration/url-map.csv,rss/index.html,/feed/,/index.xml,/index.xml,pass,same-site-https-alias,Built alias helper verified at rss/index.html.
built-content-alias,/category/salesforce-commerce-cloud/ai/,categories/ai/_index.md,category/salesforce-commerce-cloud/ai/index.html,,https://www.rhino-inquisitor.com/category/ai/,https://www.rhino-inquisitor.com/category/ai/,pass,same-site-https-alias,Built alias helper verified at category/salesforce-commerce-cloud/ai/index.html.
built-content-alias,/category/salesforce-commerce-cloud/architecture/,categories/architecture/_index.md,category/salesforce-commerce-cloud/architecture/index.html,,https://www.rhino-inquisitor.com/category/architecture/,https://www.rhino-inquisitor.com/category/architecture/,pass,same-site-https-alias,Built alias helper verified at category/salesforce-commerce-cloud/architecture/index.html.
built-content-alias,/category/salesforce-commerce-cloud/erd/,categories/erd/_index.md,category/salesforce-commerce-cloud/erd/index.html,,https://www.rhino-inquisitor.com/category/erd/,https://www.rhino-inquisitor.com/category/erd/,pass,same-site-https-alias,Built alias helper verified at category/salesforce-commerce-cloud/erd/index.html.
built-content-alias,/category/external/forward/,categories/external/_index.md,category/external/forward/index.html,,https://www.rhino-inquisitor.com/category/external/,https://www.rhino-inquisitor.com/category/external/,pass,same-site-https-alias,Built alias helper verified at category/external/forward/index.html.
built-content-alias,/category/salesforce-commerce-cloud/go-live/,categories/go-live/_index.md,category/salesforce-commerce-cloud/go-live/index.html,,https://www.rhino-inquisitor.com/category/go-live/,https://www.rhino-inquisitor.com/category/go-live/,pass,same-site-https-alias,Built alias helper verified at category/salesforce-commerce-cloud/go-live/index.html.
