legacy_url,resource_type,disposition,target_url,index_control_needed,implementation_layer,header_control_possible,owner
/the-move-from-on-site-to-remote/feed/,feed,retire,null,no,none,no,migration-engineer
/the-salesforce-b2c-commerce-cloud-environment/feed/,feed,retire,null,no,none,no,migration-engineer
/three-things-to-secure-sfcc/feed/,feed,retire,null,no,none,no,migration-engineer
/video/feed/,feed,retire,null,no,none,no,migration-engineer
/what-is-commerce-on-core/feed/,feed,retire,null,no,none,no,migration-engineer
/what-is-oci-omnichannel-inventory/feed/,feed,retire,null,no,none,no,migration-engineer
/what-is-the-ocapi-session-bridge/feed/,feed,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2022/02/demandware.jpg,media,redirect,/media/2022/demandware-296437f0e6.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/02/logo-wp-inquisitor.svg,media,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2022/03/b2c-commerce-developer.png,media,redirect,/media/2022/b2c-commerce-developer-72d9df9035.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/03/slas-diagram-1024x576.png,media,redirect,/media/2022/slas-diagram-9890f180b6.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/04/control-center-ods-scheduler.png,media,redirect,/media/2022/control-center-ods-scheduler-6e883d6157.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/04/klarnastripe.jpg,media,redirect,/media/2022/klarnastripe-6dabc3b122.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/04/npm-audit.png,media,redirect,/media/2022/npm-audit-ab1e401b03.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/04/product-exclusion-list-rule-based.png,media,redirect,/media/2022/product-exclusion-list-rule-based-0acada8ea8.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/04/tiktok-for-business.jpeg,media,redirect,/media/2022/tiktok-for-business-e34f4d0876.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/05/22.6-release-einstein-dashboards.png,media,redirect,/media/2022/22-6-release-einstein-dashboards-722f4cbace.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/05/access-key-management-ocapi.png,media,redirect,/media/2022/access-key-management-ocapi-726096138d.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/05/einstein-dashoards-addtocarts-sfcc.png,media,redirect,/media/2022/einstein-dashoards-addtocarts-sfcc-9c9a2f3595.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/05/eps-logo-austria.png,media,redirect,/media/2022/eps-logo-austria-8764a70156.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/05/omnichannel-inventory.jpg,media,redirect,/media/2022/omnichannel-inventory-865b640973.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2022/05/troubleshoot-storefront-errors-logcenter.png,media,redirect,/media/2022/troubleshoot-storefront-errors-logcenter-66dfbbe9b6.png,no,edge-cdn,yes,engineering-owner
