scope,file,url,sampleGroup,check,status,severity,message,expected,actual
rendered,tmp/rhi039-public/in-the-ring-ocapi-versus-scapi/index.html,/in-the-ring-ocapi-versus-scapi/,top_traffic,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/in-the-ring-ocapi-versus-scapi/,https://www.rhino-inquisitor.com/in-the-ring-ocapi-versus-scapi/
rendered,tmp/rhi039-public/in-the-ring-ocapi-versus-scapi/index.html,/in-the-ring-ocapi-versus-scapi/,top_traffic,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/in-the-ring-ocapi-versus-scapi/index.html,/in-the-ring-ocapi-versus-scapi/,top_traffic,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/in-the-ring-ocapi-versus-scapi/,/in-the-ring-ocapi-versus-scapi/
frontmatter,migration/output/content/pages/inside-the-ohana.md,/inside-the-ohana/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/is-salesforce-certification-worth-it.md,/is-salesforce-certification-worth-it/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/it-sure-has-been-quiet-on-this-blog.md,/it-sure-has-been-quiet-on-this-blog/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/lets-go-live-customer-migration.md,/lets-go-live-customer-migration/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/lets-go-live-ecdn.md,/lets-go-live-ecdn/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/lets-go-live-ecdn/index.html,/lets-go-live-ecdn/,backlink,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/lets-go-live-ecdn/,https://www.rhino-inquisitor.com/lets-go-live-ecdn/
rendered,tmp/rhi039-public/lets-go-live-ecdn/index.html,/lets-go-live-ecdn/,backlink,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/lets-go-live-ecdn/index.html,/lets-go-live-ecdn/,backlink,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/lets-go-live-ecdn/,/lets-go-live-ecdn/
frontmatter,migration/output/content/posts/lets-go-live-seo.md,/lets-go-live-seo/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/leveraging-generic-mappings-in-sfcc.md,/leveraging-generic-mappings-in-sfcc/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/life-is-about-choices.md,/life-is-about-choices/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/life-with-goldie.md,/life-with-goldie/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/local-vs-shared-variation-attributes-sfcc.md,/local-vs-shared-variation-attributes-sfcc/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/mail-attachments-in-b2c-commerce-cloud.md,/mail-attachments-in-b2c-commerce-cloud/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/mail-attachments-in-b2c-commerce-cloud/index.html,/mail-attachments-in-b2c-commerce-cloud/,backlink,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/mail-attachments-in-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/mail-attachments-in-b2c-commerce-cloud/
rendered,tmp/rhi039-public/mail-attachments-in-b2c-commerce-cloud/index.html,/mail-attachments-in-b2c-commerce-cloud/,backlink,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/mail-attachments-in-b2c-commerce-cloud/index.html,/mail-attachments-in-b2c-commerce-cloud/,backlink,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/mail-attachments-in-b2c-commerce-cloud/,/mail-attachments-in-b2c-commerce-cloud/
rendered,tmp/rhi039-public/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,top_traffic,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/
rendered,tmp/rhi039-public/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,top_traffic,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,top_traffic,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/
