endpoint,check,status,severity,behavior,redirectTarget,xmlValid,itemCount,message
/index.xml,canonical_feed_exists,pass,none,xml,,true,172,Canonical feed XML is present and parseable.
/feed/,helper_route_behavior,pass,none,meta-refresh,/index.xml,,,Feed helper route resolves through the approved Pages-compatible compatibility pattern.
/feed/rss/,helper_route_behavior,pass,none,meta-refresh,/index.xml,,,Feed helper route resolves through the approved Pages-compatible compatibility pattern.
/feed/atom/,helper_route_behavior,pass,none,meta-refresh,/index.xml,,,Feed helper route resolves through the approved Pages-compatible compatibility pattern.
/robots.txt,robots_allows_feed,pass,none,robots,,,,robots.txt does not disallow feed compatibility endpoints.
