legacy_url,route_class,disposition,target_url,outcome_verified,http_status,notes
/sitegenesis-vs-sfra-vs-pwa/,video,keep,/sitegenesis-vs-sfra-vs-pwa/,yes,200,Published keep route verified at sitegenesis-vs-sfra-vs-pwa/index.html.
/sitegenesis-vs-sfra-vs-pwa/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/sitemap_index.xml,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/sitemap.xml,system,keep,/sitemap.xml,yes,200,Published keep asset verified at sitemap.xml.
/slas-in-sfra-or-sitegenesis/,post,keep,/slas-in-sfra-or-sitegenesis/,yes,200,Published keep route verified at slas-in-sfra-or-sitegenesis/index.html.
/slas-in-sfra-or-sitegenesis/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/slicing-versus-variation-groups-in-sfcc/,post,keep,/slicing-versus-variation-groups-in-sfcc/,yes,200,Published keep route verified at slicing-versus-variation-groups-in-sfcc/index.html.
/storefront-protection-in-the-pwa-kit/,post,keep,/storefront-protection-in-the-pwa-kit/,yes,200,Published keep route verified at storefront-protection-in-the-pwa-kit/index.html.
/submit-multipart-form-data-to-a-third-party-service-in-sfcc/,post,keep,/submit-multipart-form-data-to-a-third-party-service-in-sfcc/,yes,200,Published keep route verified at submit-multipart-form-data-to-a-third-party-service-in-sfcc/index.html.
/submitting-a-file-to-a-third-party-service-in-sfcc/,post,keep,/submitting-a-file-to-a-third-party-service-in-sfcc/,yes,200,Published keep route verified at submitting-a-file-to-a-third-party-service-in-sfcc/index.html.
/swc-and-storybook-error-failed-to-load-native-binding/,page,keep,/swc-and-storybook-error-failed-to-load-native-binding/,yes,200,Published keep route verified at swc-and-storybook-error-failed-to-load-native-binding/index.html.
/tag/ai/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/apex/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/architect/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/business-manager/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/cloudflare/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/composable-storefront/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/composable-storefront/page/2/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/documentation/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/einstein/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/erd/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/erd/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/file/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/headless/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/headless/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/headless/page/2/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/idea/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/jobs/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/jwt/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/mail/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
